manhole_id,upstream_pipe_count,upstream_pipe_total_length,upstream_pipe_weighted_avg_diameter,upstream_pipe_weighted_avg_gradient,upstream_storm_impervious_area,upstream_sanitary_population
MH417662,6,310.39032213287544,199.99999999999997,0.037565604236231516,2.491931094823283,230.8000000000003
MH417663,5,304.29032500155887,199.99999999999997,0.03713558753451041,1.6148733628721672,130.19999999999996
MH417664,3,119.43112421102573,200.0,0.028886942351008225,1.3458310866712426,110.79999999999997
MH417665,2,57.30228130385991,199.99999999999997,0.007678577361812179,0.9291635827952426,60.99999999999999
MH417669,0,0.0,0.0,0.0,0.26904227620092463,19.4
MH417670,2,78.73136508733826,200.0,0.01752795723113824,1.0242146964410612,65.99999999999997
MH417671,1,11.275829947000222,200.0,0.06207968755206601,0.762423951696417,30.6
MH418157,7,285.47907859309566,200.00000000000003,0.035344096140865214,2.0983664029203926,147.00000000000003
MH418158,4,156.7096512839844,200.0,0.040520797206629725,1.1786684515143835,71.39999999999998
MH418233,8,366.35352858202185,211.03776047987753,0.03897874289697985,2.318838928511579,190.6000000000002
MH418234,0,0.0,0.0,0.0,0.2644472407548956,22.200000000000003
MH418704,81,5339.286447275558,334.70487098720304,0.02522359519945222,25.952166013101937,1872.1999999999985
MH418990,0,0.0,0.0,0.0,1.0237960714022005,0.0
MH418992,2,105.0564600299296,309.5321138349734,0.014753971336540531,1.0237960714022005,0.0
MH418993,1,91.70432488186792,300.0,0.01384885611050504,1.0237960714022005,0.0
MH418995,3,116.71345080792437,323.561626648581,0.014222867960025129,1.0237960714022005,0.0
MH422562,6,664.8041090452787,234.49093291395153,0.011687653391851696,1.539645874166936,346.1200000000001
MH422563,101,6575.566740258662,343.8710977838543,0.02400036471894924,32.74466629327196,4085.200000000065
MH422564,29,2318.411288820716,258.97337793562485,0.01743564664083463,1.5646259621308058,1145.4199999999994
MH422566,109,6962.00522808337,358.2595287610886,0.023063182910622957,34.118828038883336,4086.100000000065
MH422569,20,1555.346850668438,255.32876328731683,0.020833295149615173,0.024980087963869812,848.0999999999985
